[2016-01-06 11:56:19,293] Autoscaler health stat event receiver thread started
[2016-01-06 11:59:13,799] Running minimum rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-2
[2016-01-06 11:59:13,799] Running obsolete instances rule: [partition] rubis-partition [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-06 11:59:13,800] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-2 [cluster] rubis-phponly.php.php3.domain Non terminated member count: 1
[2016-01-06 11:59:13,800] [obsolete-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain Obsolete member count: 0
[2016-01-06 11:59:13,800] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-2 [cluster] rubis-phponly.php.php3.domain Minimum member count: 1
[2016-01-06 11:59:13,800] Running instances cleanup event sender rule: [partition] rubis-partition [network-partition] south-east-asia
[2016-01-06 11:59:13,801] [instance-cleanup-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain Pending termination member count: 0
[2016-01-06 11:59:13,802] Running max rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-2
[2016-01-06 11:59:13,802] [max-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-2 [cluster] rubis-phponly.php.php3.domain [partition] rubis-partition Activated member count: 0 Max member count 10
[2016-01-06 11:59:13,803] Running scale up rule: [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-06 11:59:13,804] [scaling] [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain Algorithm name: one-after-another
[2016-01-06 11:59:13,806] HealthStatProc la rubis-phponly.php.php3.domain rubis-phponly-2 0.0 0.0 0.0 0.0
[2016-01-06 11:59:13,807] HealthStatProc mc rubis-phponly.php.php3.domain rubis-phponly-2 0.0 0.0 0.0 0.0
[2016-01-06 11:59:13,807] HealthStatProc rif rubis-phponly.php.php3.domain rubis-phponly-2 NaN NaN NaN NaN
[2016-01-06 11:59:13,808] HealthStatProc count rubis-phponly.php.php3.domain rubis-phponly-2 0
[2016-01-06 11:59:13,809] [scaling] [cluster] rubis-phponly.php.php3.domain RIF Resetted?: true
[2016-01-06 11:59:13,809] [scaling] [cluster] rubis-phponly.php.php3.domain RIF predicted value: NaN
[2016-01-06 11:59:13,810] [scaling] [cluster] rubis-phponly.php.php3.domain RIF threshold: 100.0
[2016-01-06 11:59:13,810] [scaling] [cluster] rubis-phponly.php.php3.domain MC predicted value: 0.0
[2016-01-06 11:59:13,810] [scaling] [cluster] rubis-phponly.php.php3.domain MC threshold: 80.0
[2016-01-06 11:59:13,811] [scaling] [cluster] rubis-phponly.php.php3.domain LA predicted value: 0.0
[2016-01-06 11:59:13,811] [scaling] [cluster] rubis-phponly.php.php3.domain LA threshold: 80.0
[2016-01-06 11:59:13,811] [scaling] [cluster] rubis-phponly.php.php3.domain Scale-up action: false
[2016-01-06 11:59:13,812] [scaling] [cluster] rubis-phponly.php.php3.domain Scale-down action: false
[2016-01-06 11:59:13,813] [scaling] Number of required instances based on stats: 0 [active instances count] 0 [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-06 11:59:13,814] [scaling] No decision made to either scale up or scale down ... [cluster] rubis-phponly.php.php3.domain [instance id]rubis-phponly-2
[2016-01-06 11:59:56,422] A cluster monitor is not found in autoscaler context [cluster] rubis.mysql.mysql.domain
[2016-01-06 11:59:56,468] A cluster monitor is not found in autoscaler context [cluster] rubis.mysql.mysql.domain
[2016-01-06 11:59:56,483] A cluster monitor is not found in autoscaler context [cluster] rubis.mysql.mysql.domain
[2016-01-06 12:00:01,696] A cluster monitor is not found in autoscaler context [cluster] rubis.php.php.domain
[2016-01-06 12:00:02,006] A cluster monitor is not found in autoscaler context [cluster] rubis.php.php.domain
[2016-01-06 12:00:02,059] A cluster monitor is not found in autoscaler context [cluster] rubis.php.php.domain
[2016-01-06 12:00:43,800] Running minimum rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-2
[2016-01-06 12:00:43,800] Running obsolete instances rule: [partition] rubis-partition [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-06 12:00:43,800] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-2 [cluster] rubis-phponly.php.php3.domain Non terminated member count: 1
[2016-01-06 12:00:43,801] [obsolete-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain Obsolete member count: 0
[2016-01-06 12:00:43,801] Running instances cleanup event sender rule: [partition] rubis-partition [network-partition] south-east-asia
[2016-01-06 12:00:43,801] [instance-cleanup-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain Pending termination member count: 0
[2016-01-06 12:00:43,801] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-2 [cluster] rubis-phponly.php.php3.domain Minimum member count: 1
[2016-01-06 12:00:43,802] Running max rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-2
[2016-01-06 12:00:43,802] [max-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-2 [cluster] rubis-phponly.php.php3.domain [partition] rubis-partition Activated member count: 1 Max member count 10
[2016-01-06 12:00:43,802] Running scale up rule: [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-06 12:00:43,802] [scaling] [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain Algorithm name: one-after-another
[2016-01-06 12:00:43,803] HealthStatProc la rubis-phponly.php.php3.domain rubis-phponly-2 0.0 0.0 0.0 0.0
[2016-01-06 12:00:43,804] HealthStatProc mc rubis-phponly.php.php3.domain rubis-phponly-2 0.0 0.0 0.0 0.0
[2016-01-06 12:00:43,804] HealthStatProc rif rubis-phponly.php.php3.domain rubis-phponly-2 NaN NaN NaN NaN
[2016-01-06 12:00:43,804] HealthStatProc count rubis-phponly.php.php3.domain rubis-phponly-2 1
[2016-01-06 12:00:43,804] [scaling] [cluster] rubis-phponly.php.php3.domain RIF Resetted?: true
[2016-01-06 12:00:43,805] [scaling] [cluster] rubis-phponly.php.php3.domain RIF predicted value: NaN
[2016-01-06 12:00:43,805] [scaling] [cluster] rubis-phponly.php.php3.domain RIF threshold: 100.0
[2016-01-06 12:00:43,805] [scaling] [cluster] rubis-phponly.php.php3.domain MC predicted value: 0.0
[2016-01-06 12:00:43,805] [scaling] [cluster] rubis-phponly.php.php3.domain MC threshold: 80.0
[2016-01-06 12:00:43,805] [scaling] [cluster] rubis-phponly.php.php3.domain LA predicted value: 0.0
[2016-01-06 12:00:43,805] [scaling] [cluster] rubis-phponly.php.php3.domain LA threshold: 80.0
[2016-01-06 12:00:43,805] [scaling] [cluster] rubis-phponly.php.php3.domain Scale-up action: false
[2016-01-06 12:00:43,806] [scaling] [cluster] rubis-phponly.php.php3.domain Scale-down action: true
[2016-01-06 12:00:43,808] HealthStatProc member rubis-phponly.php.php3.domain rubis-phponly.php.php3.domainee152074-cfb9-4865-b8f5-8025d6d355b5 1452081463839 0.0 0.0 0.0 0.0 0.0 0.0
[2016-01-06 12:00:43,808] [scaling] Number of required instances based on stats: 0 [active instances count] 1 [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-06 12:00:43,809] [scale-down] Min is reached, hence not scaling down [cluster] rubis-phponly.php.php3.domain [instance id]rubis-phponly-2
[2016-01-06 12:00:56,422] A cluster monitor is not found in autoscaler context [cluster] rubis.mysql.mysql.domain
[2016-01-06 12:00:56,469] A cluster monitor is not found in autoscaler context [cluster] rubis.mysql.mysql.domain
[2016-01-06 12:00:56,483] A cluster monitor is not found in autoscaler context [cluster] rubis.mysql.mysql.domain
[2016-01-06 12:01:01,695] A cluster monitor is not found in autoscaler context [cluster] rubis.php.php.domain
[2016-01-06 12:01:02,006] A cluster monitor is not found in autoscaler context [cluster] rubis.php.php.domain
[2016-01-06 12:01:02,059] A cluster monitor is not found in autoscaler context [cluster] rubis.php.php.domain
[2016-01-06 12:01:56,422] A cluster monitor is not found in autoscaler context [cluster] rubis.mysql.mysql.domain
[2016-01-06 12:01:56,468] A cluster monitor is not found in autoscaler context [cluster] rubis.mysql.mysql.domain
[2016-01-06 12:01:56,483] A cluster monitor is not found in autoscaler context [cluster] rubis.mysql.mysql.domain
[2016-01-06 12:02:01,695] A cluster monitor is not found in autoscaler context [cluster] rubis.php.php.domain
[2016-01-06 12:02:02,006] A cluster monitor is not found in autoscaler context [cluster] rubis.php.php.domain
[2016-01-06 12:02:02,059] A cluster monitor is not found in autoscaler context [cluster] rubis.php.php.domain
[2016-01-06 12:02:13,801] Running minimum rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-2
[2016-01-06 12:02:13,802] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-2 [cluster] rubis-phponly.php.php3.domain Non terminated member count: 1
[2016-01-06 12:02:13,802] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-2 [cluster] rubis-phponly.php.php3.domain Minimum member count: 1
[2016-01-06 12:02:13,802] Running max rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-2
[2016-01-06 12:02:13,802] [max-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-2 [cluster] rubis-phponly.php.php3.domain [partition] rubis-partition Activated member count: 1 Max member count 10
[2016-01-06 12:02:13,803] Running scale up rule: [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-06 12:02:13,803] [scaling] [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain Algorithm name: one-after-another
[2016-01-06 12:02:13,804] HealthStatProc la rubis-phponly.php.php3.domain rubis-phponly-2 11.75 -0.17757258 0.0022159389 11.573535719071515
[2016-01-06 12:02:13,804] HealthStatProc mc rubis-phponly.php.php3.domain rubis-phponly-2 32.575 -0.004439413 -0.009533608 32.570560455322266
[2016-01-06 12:02:13,804] HealthStatProc rif rubis-phponly.php.php3.domain rubis-phponly-2 0.0 0.0 0.0 0.0
[2016-01-06 12:02:13,804] HealthStatProc count rubis-phponly.php.php3.domain rubis-phponly-2 1
[2016-01-06 12:02:13,804] Running obsolete instances rule: [partition] rubis-partition [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-06 12:02:13,805] [scaling] [cluster] rubis-phponly.php.php3.domain RIF Resetted?: true
[2016-01-06 12:02:13,805] [obsolete-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain Obsolete member count: 0
[2016-01-06 12:02:13,805] [scaling] [cluster] rubis-phponly.php.php3.domain RIF predicted value: 0.0
[2016-01-06 12:02:13,805] Running instances cleanup event sender rule: [partition] rubis-partition [network-partition] south-east-asia
[2016-01-06 12:02:13,805] [scaling] [cluster] rubis-phponly.php.php3.domain RIF threshold: 100.0
[2016-01-06 12:02:13,806] [scaling] [cluster] rubis-phponly.php.php3.domain MC predicted value: 32.570560455322266
[2016-01-06 12:02:13,806] [scaling] [cluster] rubis-phponly.php.php3.domain MC threshold: 80.0
[2016-01-06 12:02:13,806] [instance-cleanup-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain Pending termination member count: 0
[2016-01-06 12:02:13,806] [scaling] [cluster] rubis-phponly.php.php3.domain LA predicted value: 11.573535719071515
[2016-01-06 12:02:13,806] [scaling] [cluster] rubis-phponly.php.php3.domain LA threshold: 80.0
[2016-01-06 12:02:13,806] [scaling] [cluster] rubis-phponly.php.php3.domain Scale-up action: false
[2016-01-06 12:02:13,806] [scaling] [cluster] rubis-phponly.php.php3.domain Scale-down action: true
[2016-01-06 12:02:13,807] HealthStatProc member rubis-phponly.php.php3.domain rubis-phponly.php.php3.domainee152074-cfb9-4865-b8f5-8025d6d355b5 1452081463839 11.75 -0.17757258 0.0022159389 32.575 -0.004439413 0.0
[2016-01-06 12:02:13,807] [scaling] Number of required instances based on stats: 1 [active instances count] 1 [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-06 12:02:13,807] [scale-down] Min is reached, hence not scaling down [cluster] rubis-phponly.php.php3.domain [instance id]rubis-phponly-2
[2016-01-06 12:02:56,422] A cluster monitor is not found in autoscaler context [cluster] rubis.mysql.mysql.domain
[2016-01-06 12:02:56,471] A cluster monitor is not found in autoscaler context [cluster] rubis.mysql.mysql.domain
[2016-01-06 12:02:56,484] A cluster monitor is not found in autoscaler context [cluster] rubis.mysql.mysql.domain
[2016-01-06 12:03:01,699] A cluster monitor is not found in autoscaler context [cluster] rubis.php.php.domain
[2016-01-06 12:03:02,006] A cluster monitor is not found in autoscaler context [cluster] rubis.php.php.domain
[2016-01-06 12:03:02,058] A cluster monitor is not found in autoscaler context [cluster] rubis.php.php.domain
[2016-01-06 12:03:43,802] Running obsolete instances rule: [partition] rubis-partition [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-06 12:03:43,802] Running minimum rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-2
[2016-01-06 12:03:43,802] [obsolete-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain Obsolete member count: 0
[2016-01-06 12:03:43,802] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-2 [cluster] rubis-phponly.php.php3.domain Non terminated member count: 1
[2016-01-06 12:03:43,803] Running instances cleanup event sender rule: [partition] rubis-partition [network-partition] south-east-asia
[2016-01-06 12:03:43,803] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-2 [cluster] rubis-phponly.php.php3.domain Minimum member count: 1
[2016-01-06 12:03:43,803] [instance-cleanup-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain Pending termination member count: 0
[2016-01-06 12:03:43,803] Running max rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-2
[2016-01-06 12:03:43,804] [max-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-2 [cluster] rubis-phponly.php.php3.domain [partition] rubis-partition Activated member count: 1 Max member count 10
[2016-01-06 12:03:43,804] Running scale up rule: [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-06 12:03:43,804] [scaling] [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain Algorithm name: one-after-another
[2016-01-06 12:03:43,805] HealthStatProc la rubis-phponly.php.php3.domain rubis-phponly-2 14.75 0.110990256 0.015521906 14.868751477450132
[2016-01-06 12:03:43,805] HealthStatProc mc rubis-phponly.php.php3.domain rubis-phponly-2 25.975 -0.14428413 -2.2172676E-4 25.830717086791992
[2016-01-06 12:03:43,805] HealthStatProc rif rubis-phponly.php.php3.domain rubis-phponly-2 0.0 0.0 0.0 0.0
[2016-01-06 12:03:43,805] HealthStatProc count rubis-phponly.php.php3.domain rubis-phponly-2 1
[2016-01-06 12:03:43,806] [scaling] [cluster] rubis-phponly.php.php3.domain RIF Resetted?: true
[2016-01-06 12:03:43,806] [scaling] [cluster] rubis-phponly.php.php3.domain RIF predicted value: 0.0
[2016-01-06 12:03:43,806] [scaling] [cluster] rubis-phponly.php.php3.domain RIF threshold: 100.0
[2016-01-06 12:03:43,806] [scaling] [cluster] rubis-phponly.php.php3.domain MC predicted value: 25.830717086791992
[2016-01-06 12:03:43,806] [scaling] [cluster] rubis-phponly.php.php3.domain MC threshold: 80.0
[2016-01-06 12:03:43,807] [scaling] [cluster] rubis-phponly.php.php3.domain LA predicted value: 14.868751477450132
[2016-01-06 12:03:43,807] [scaling] [cluster] rubis-phponly.php.php3.domain LA threshold: 80.0
[2016-01-06 12:03:43,807] [scaling] [cluster] rubis-phponly.php.php3.domain Scale-up action: false
[2016-01-06 12:03:43,807] [scaling] [cluster] rubis-phponly.php.php3.domain Scale-down action: true
[2016-01-06 12:03:43,808] HealthStatProc member rubis-phponly.php.php3.domain rubis-phponly.php.php3.domainee152074-cfb9-4865-b8f5-8025d6d355b5 1452081463839 14.75 0.110990256 0.015521906 25.975 -0.14428413 0.0
[2016-01-06 12:03:43,808] [scaling] Number of required instances based on stats: 1 [active instances count] 1 [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-06 12:03:43,808] [scale-down] Min is reached, hence not scaling down [cluster] rubis-phponly.php.php3.domain [instance id]rubis-phponly-2
[2016-01-06 12:03:56,422] A cluster monitor is not found in autoscaler context [cluster] rubis.mysql.mysql.domain
[2016-01-06 12:03:56,468] A cluster monitor is not found in autoscaler context [cluster] rubis.mysql.mysql.domain
[2016-01-06 12:03:56,483] A cluster monitor is not found in autoscaler context [cluster] rubis.mysql.mysql.domain
[2016-01-06 12:04:01,698] A cluster monitor is not found in autoscaler context [cluster] rubis.php.php.domain
[2016-01-06 12:04:02,006] A cluster monitor is not found in autoscaler context [cluster] rubis.php.php.domain
[2016-01-06 12:04:02,063] A cluster monitor is not found in autoscaler context [cluster] rubis.php.php.domain
[2016-01-06 12:04:56,422] A cluster monitor is not found in autoscaler context [cluster] rubis.mysql.mysql.domain
[2016-01-06 12:04:56,468] A cluster monitor is not found in autoscaler context [cluster] rubis.mysql.mysql.domain
[2016-01-06 12:04:56,484] A cluster monitor is not found in autoscaler context [cluster] rubis.mysql.mysql.domain
[2016-01-06 12:05:01,704] A cluster monitor is not found in autoscaler context [cluster] rubis.php.php.domain
[2016-01-06 12:05:02,009] A cluster monitor is not found in autoscaler context [cluster] rubis.php.php.domain
[2016-01-06 12:05:02,058] A cluster monitor is not found in autoscaler context [cluster] rubis.php.php.domain
[2016-01-06 12:05:13,802] Running minimum rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-2
[2016-01-06 12:05:13,803] Running obsolete instances rule: [partition] rubis-partition [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-06 12:05:13,803] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-2 [cluster] rubis-phponly.php.php3.domain Non terminated member count: 1
[2016-01-06 12:05:13,803] [obsolete-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain Obsolete member count: 0
[2016-01-06 12:05:13,803] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-2 [cluster] rubis-phponly.php.php3.domain Minimum member count: 1
[2016-01-06 12:05:13,804] Running max rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-2
[2016-01-06 12:05:13,804] Running instances cleanup event sender rule: [partition] rubis-partition [network-partition] south-east-asia
[2016-01-06 12:05:13,804] [max-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-2 [cluster] rubis-phponly.php.php3.domain [partition] rubis-partition Activated member count: 1 Max member count 10
[2016-01-06 12:05:13,804] [instance-cleanup-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain Pending termination member count: 0
[2016-01-06 12:05:13,805] Running scale up rule: [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-06 12:05:13,805] [scaling] [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain Algorithm name: one-after-another
[2016-01-06 12:05:13,806] HealthStatProc la rubis-phponly.php.php3.domain rubis-phponly-2 3.75 -0.044395115 0.0022171938 3.706713388557546
[2016-01-06 12:05:13,806] HealthStatProc mc rubis-phponly.php.php3.domain rubis-phponly-2 13.45 0.002219805 0.0 13.45221996307373
[2016-01-06 12:05:13,806] HealthStatProc rif rubis-phponly.php.php3.domain rubis-phponly-2 3.125 0.53890926 0.050869107 3.689343750476837
[2016-01-06 12:05:13,806] HealthStatProc count rubis-phponly.php.php3.domain rubis-phponly-2 1
[2016-01-06 12:05:13,807] [scaling] [cluster] rubis-phponly.php.php3.domain RIF Resetted?: true
[2016-01-06 12:05:13,807] [scaling] [cluster] rubis-phponly.php.php3.domain RIF predicted value: 3.689343750476837
[2016-01-06 12:05:13,807] [scaling] [cluster] rubis-phponly.php.php3.domain RIF threshold: 100.0
[2016-01-06 12:05:13,807] [scaling] [cluster] rubis-phponly.php.php3.domain MC predicted value: 13.45221996307373
[2016-01-06 12:05:13,808] [scaling] [cluster] rubis-phponly.php.php3.domain MC threshold: 80.0
[2016-01-06 12:05:13,808] [scaling] [cluster] rubis-phponly.php.php3.domain LA predicted value: 3.706713388557546
[2016-01-06 12:05:13,808] [scaling] [cluster] rubis-phponly.php.php3.domain LA threshold: 80.0
[2016-01-06 12:05:13,808] [scaling] [cluster] rubis-phponly.php.php3.domain Scale-up action: false
[2016-01-06 12:05:13,808] [scaling] [cluster] rubis-phponly.php.php3.domain Scale-down action: true
[2016-01-06 12:05:13,809] HealthStatProc member rubis-phponly.php.php3.domain rubis-phponly.php.php3.domainee152074-cfb9-4865-b8f5-8025d6d355b5 1452081463839 3.75 -0.044395115 0.0022171938 13.45 0.002219805 0.0
[2016-01-06 12:05:13,809] [scaling] Number of required instances based on stats: 1 [active instances count] 1 [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-06 12:05:13,809] [scale-down] Min is reached, hence not scaling down [cluster] rubis-phponly.php.php3.domain [instance id]rubis-phponly-2
[2016-01-06 12:05:56,422] A cluster monitor is not found in autoscaler context [cluster] rubis.mysql.mysql.domain
[2016-01-06 12:05:56,468] A cluster monitor is not found in autoscaler context [cluster] rubis.mysql.mysql.domain
[2016-01-06 12:05:56,484] A cluster monitor is not found in autoscaler context [cluster] rubis.mysql.mysql.domain
[2016-01-06 12:06:01,705] A cluster monitor is not found in autoscaler context [cluster] rubis.php.php.domain
[2016-01-06 12:06:02,009] A cluster monitor is not found in autoscaler context [cluster] rubis.php.php.domain
[2016-01-06 12:06:02,063] A cluster monitor is not found in autoscaler context [cluster] rubis.php.php.domain
[2016-01-06 12:06:43,803] Running obsolete instances rule: [partition] rubis-partition [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-06 12:06:43,803] Running minimum rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-2
[2016-01-06 12:06:43,805] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-2 [cluster] rubis-phponly.php.php3.domain Non terminated member count: 1
[2016-01-06 12:06:43,805] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-2 [cluster] rubis-phponly.php.php3.domain Minimum member count: 1
[2016-01-06 12:06:43,805] Running max rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-2
[2016-01-06 12:06:43,805] [max-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-2 [cluster] rubis-phponly.php.php3.domain [partition] rubis-partition Activated member count: 1 Max member count 10
[2016-01-06 12:06:43,806] Running scale up rule: [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-06 12:06:43,806] [scaling] [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain Algorithm name: one-after-another
[2016-01-06 12:06:43,807] HealthStatProc la rubis-phponly.php.php3.domain rubis-phponly-2 43.25 -0.51055515 0.028840803 42.753865133970976
[2016-01-06 12:06:43,807] HealthStatProc mc rubis-phponly.php.php3.domain rubis-phponly-2 27.4 0.37957823 -0.024404481 27.779577255249023
[2016-01-06 12:06:43,807] HealthStatProc rif rubis-phponly.php.php3.domain rubis-phponly-2 6.0 0.0 0.0 6.0
[2016-01-06 12:06:43,807] HealthStatProc count rubis-phponly.php.php3.domain rubis-phponly-2 1
[2016-01-06 12:06:43,808] [scaling] [cluster] rubis-phponly.php.php3.domain RIF Resetted?: true
[2016-01-06 12:06:43,808] [scaling] [cluster] rubis-phponly.php.php3.domain RIF predicted value: 6.0
[2016-01-06 12:06:43,808] [scaling] [cluster] rubis-phponly.php.php3.domain RIF threshold: 100.0
[2016-01-06 12:06:43,808] [scaling] [cluster] rubis-phponly.php.php3.domain MC predicted value: 27.779577255249023
[2016-01-06 12:06:43,808] [scaling] [cluster] rubis-phponly.php.php3.domain MC threshold: 80.0
