[2016-01-07 05:23:19,564] Autoscaler health stat event receiver thread started
[2016-01-07 05:34:07,370] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-3 [cluster] rubis-phponly.php.php3.domain Minimum member count: 1
[2016-01-07 05:34:07,371] [instance-cleanup-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain Pending termination member count: 0
[2016-01-07 05:34:07,371] Running max rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-3
[2016-01-07 05:34:07,371] [max-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-3 [cluster] rubis-phponly.php.php3.domain [partition] rubis-partition Activated member count: 1 Max member count 10
[2016-01-07 05:35:37,368] Running minimum rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-3
[2016-01-07 05:35:37,368] Running obsolete instances rule: [partition] rubis-partition [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-07 05:35:37,369] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-3 [cluster] rubis-phponly.php.php3.domain Non terminated member count: 1
[2016-01-07 05:35:37,369] [obsolete-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain Obsolete member count: 0
[2016-01-07 05:35:37,369] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-3 [cluster] rubis-phponly.php.php3.domain Minimum member count: 1
[2016-01-07 05:35:37,369] Running instances cleanup event sender rule: [partition] rubis-partition [network-partition] south-east-asia
[2016-01-07 05:35:37,369] Running max rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-3
[2016-01-07 05:35:37,369] [instance-cleanup-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain Pending termination member count: 0
[2016-01-07 05:35:37,370] [max-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-3 [cluster] rubis-phponly.php.php3.domain [partition] rubis-partition Activated member count: 1 Max member count 10
[2016-01-07 05:35:37,371] Running scale up rule: [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-07 05:35:37,371] [scaling] [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain Algorithm name: one-after-another
[2016-01-07 05:35:37,374] HealthStatProc la rubis-phponly.php.php3.domain rubis-phponly-3 13.0 -0.19974256 0.0044337967 12.802474581170827
[2016-01-07 05:35:37,375] HealthStatProc mc rubis-phponly.php.php3.domain rubis-phponly-3 12.05 0.0044387234 4.431879E-4 12.054438591003418
[2016-01-07 05:35:37,375] HealthStatProc rif rubis-phponly.php.php3.domain rubis-phponly-3 0.0 0.0 0.0 0.0
[2016-01-07 05:35:37,375] HealthStatProc count rubis-phponly.php.php3.domain rubis-phponly-3 1
[2016-01-07 05:35:37,377] [scaling] [cluster] rubis-phponly.php.php3.domain RIF Resetted?: false
[2016-01-07 05:35:37,377] [scaling] [cluster] rubis-phponly.php.php3.domain RIF predicted value: 0.0
[2016-01-07 05:35:37,377] [scaling] [cluster] rubis-phponly.php.php3.domain RIF threshold: 100.0
[2016-01-07 05:35:37,378] [scaling] [cluster] rubis-phponly.php.php3.domain MC predicted value: 12.054438591003418
[2016-01-07 05:35:37,378] [scaling] [cluster] rubis-phponly.php.php3.domain MC threshold: 80.0
[2016-01-07 05:35:37,378] [scaling] [cluster] rubis-phponly.php.php3.domain LA predicted value: 12.802474581170827
[2016-01-07 05:35:37,379] [scaling] [cluster] rubis-phponly.php.php3.domain LA threshold: 80.0
[2016-01-07 05:35:37,379] [scaling] [cluster] rubis-phponly.php.php3.domain Scale-up action: false
[2016-01-07 05:35:37,379] [scaling] [cluster] rubis-phponly.php.php3.domain Scale-down action: true
[2016-01-07 05:35:37,382] HealthStatProc member rubis-phponly.php.php3.domain rubis-phponly.php.php3.domain74ef4cdd-90db-4f62-848a-1770b17859eb 1452144577406 13.0 -0.19974256 0.0044337967 12.05 0.0044387234 0.0
[2016-01-07 05:35:37,383] [scaling] Number of required instances based on stats: 1 [active instances count] 1 [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-07 05:35:37,384] [scale-down] Min is reached, hence not scaling down [cluster] rubis-phponly.php.php3.domain [instance id]rubis-phponly-3
[2016-01-07 05:37:07,368] Running minimum rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-3
[2016-01-07 05:37:07,371] Running obsolete instances rule: [partition] rubis-partition [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-07 05:37:07,371] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-3 [cluster] rubis-phponly.php.php3.domain Non terminated member count: 1
[2016-01-07 05:37:07,371] [obsolete-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain Obsolete member count: 0
[2016-01-07 05:37:07,371] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-3 [cluster] rubis-phponly.php.php3.domain Minimum member count: 1
[2016-01-07 05:37:07,372] Running max rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-3
[2016-01-07 05:37:07,372] Running instances cleanup event sender rule: [partition] rubis-partition [network-partition] south-east-asia
[2016-01-07 05:37:07,372] [max-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-3 [cluster] rubis-phponly.php.php3.domain [partition] rubis-partition Activated member count: 1 Max member count 10
[2016-01-07 05:37:07,372] [instance-cleanup-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain Pending termination member count: 0
[2016-01-07 05:37:07,372] Running scale up rule: [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-07 05:37:07,372] [scaling] [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain Algorithm name: one-after-another
[2016-01-07 05:37:07,374] HealthStatProc la rubis-phponly.php.php3.domain rubis-phponly-3 1.75 -0.022200515 -0.0022179321 1.7266905687283725
[2016-01-07 05:37:07,374] HealthStatProc mc rubis-phponly.php.php3.domain rubis-phponly-3 12.125 0.0022200022 -6.6533533E-4 12.127220153808594
[2016-01-07 05:37:07,374] HealthStatProc rif rubis-phponly.php.php3.domain rubis-phponly-3 0.0 0.0 0.0 0.0
[2016-01-07 05:37:07,374] HealthStatProc count rubis-phponly.php.php3.domain rubis-phponly-3 1
[2016-01-07 05:37:07,375] [scaling] [cluster] rubis-phponly.php.php3.domain RIF Resetted?: false
[2016-01-07 05:37:07,375] [scaling] [cluster] rubis-phponly.php.php3.domain RIF predicted value: 0.0
[2016-01-07 05:37:07,375] [scaling] [cluster] rubis-phponly.php.php3.domain RIF threshold: 100.0
[2016-01-07 05:37:07,375] [scaling] [cluster] rubis-phponly.php.php3.domain MC predicted value: 12.127220153808594
[2016-01-07 05:37:07,375] [scaling] [cluster] rubis-phponly.php.php3.domain MC threshold: 80.0
[2016-01-07 05:37:07,375] [scaling] [cluster] rubis-phponly.php.php3.domain LA predicted value: 1.7266905687283725
[2016-01-07 05:37:07,376] [scaling] [cluster] rubis-phponly.php.php3.domain LA threshold: 80.0
[2016-01-07 05:37:07,376] [scaling] [cluster] rubis-phponly.php.php3.domain Scale-up action: false
[2016-01-07 05:37:07,376] [scaling] [cluster] rubis-phponly.php.php3.domain Scale-down action: true
[2016-01-07 05:37:07,377] HealthStatProc member rubis-phponly.php.php3.domain rubis-phponly.php.php3.domain74ef4cdd-90db-4f62-848a-1770b17859eb 1452144577406 1.75 -0.022200515 -0.0022179321 12.125 0.0022200022 0.0
[2016-01-07 05:37:07,377] [scaling] Number of required instances based on stats: 1 [active instances count] 1 [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-07 05:37:07,377] [scale-down] Min is reached, hence not scaling down [cluster] rubis-phponly.php.php3.domain [instance id]rubis-phponly-3
[2016-01-07 05:38:37,369] Running minimum rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-3
[2016-01-07 05:38:37,370] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-3 [cluster] rubis-phponly.php.php3.domain Non terminated member count: 1
[2016-01-07 05:38:37,370] Running obsolete instances rule: [partition] rubis-partition [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-07 05:38:37,370] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-3 [cluster] rubis-phponly.php.php3.domain Minimum member count: 1
[2016-01-07 05:38:37,370] [obsolete-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain Obsolete member count: 0
[2016-01-07 05:38:37,371] Running instances cleanup event sender rule: [partition] rubis-partition [network-partition] south-east-asia
[2016-01-07 05:38:37,371] Running max rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-3
[2016-01-07 05:38:37,371] [instance-cleanup-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain Pending termination member count: 0
[2016-01-07 05:38:37,371] [max-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-3 [cluster] rubis-phponly.php.php3.domain [partition] rubis-partition Activated member count: 1 Max member count 10
[2016-01-07 05:38:37,372] Running scale up rule: [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-07 05:38:37,372] [scaling] [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain Algorithm name: one-after-another
[2016-01-07 05:38:37,373] HealthStatProc la rubis-phponly.php.php3.domain rubis-phponly-3 0.75 -0.022203473 -0.002218523 0.7266872930340469
[2016-01-07 05:38:37,373] HealthStatProc mc rubis-phponly.php.php3.domain rubis-phponly-3 12.125 0.0022203967 2.2185971E-4 12.127220153808594
[2016-01-07 05:38:37,373] HealthStatProc rif rubis-phponly.php.php3.domain rubis-phponly-3 0.0 0.0 0.0 0.0
[2016-01-07 05:38:37,373] HealthStatProc count rubis-phponly.php.php3.domain rubis-phponly-3 1
[2016-01-07 05:38:37,374] [scaling] [cluster] rubis-phponly.php.php3.domain RIF Resetted?: true
[2016-01-07 05:38:37,374] [scaling] [cluster] rubis-phponly.php.php3.domain RIF predicted value: 0.0
[2016-01-07 05:38:37,374] [scaling] [cluster] rubis-phponly.php.php3.domain RIF threshold: 100.0
[2016-01-07 05:38:37,374] [scaling] [cluster] rubis-phponly.php.php3.domain MC predicted value: 12.127220153808594
[2016-01-07 05:38:37,374] [scaling] [cluster] rubis-phponly.php.php3.domain MC threshold: 80.0
[2016-01-07 05:38:37,374] [scaling] [cluster] rubis-phponly.php.php3.domain LA predicted value: 0.7266872930340469
[2016-01-07 05:38:37,375] [scaling] [cluster] rubis-phponly.php.php3.domain LA threshold: 80.0
[2016-01-07 05:38:37,375] [scaling] [cluster] rubis-phponly.php.php3.domain Scale-up action: false
[2016-01-07 05:38:37,375] [scaling] [cluster] rubis-phponly.php.php3.domain Scale-down action: true
[2016-01-07 05:38:37,376] HealthStatProc member rubis-phponly.php.php3.domain rubis-phponly.php.php3.domain74ef4cdd-90db-4f62-848a-1770b17859eb 1452144577406 0.75 -0.022203473 -0.002218523 12.125 0.0022203967 0.0
[2016-01-07 05:38:37,376] [scaling] Number of required instances based on stats: 1 [active instances count] 1 [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-07 05:38:37,376] [scale-down] Min is reached, hence not scaling down [cluster] rubis-phponly.php.php3.domain [instance id]rubis-phponly-3
[2016-01-07 05:40:07,370] Running obsolete instances rule: [partition] rubis-partition [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-07 05:40:07,370] Running minimum rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-3
[2016-01-07 05:40:07,371] [obsolete-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain Obsolete member count: 0
[2016-01-07 05:40:07,371] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-3 [cluster] rubis-phponly.php.php3.domain Non terminated member count: 1
[2016-01-07 05:40:07,372] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-3 [cluster] rubis-phponly.php.php3.domain Minimum member count: 1
[2016-01-07 05:40:07,372] Running max rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-3
[2016-01-07 05:40:07,372] Running instances cleanup event sender rule: [partition] rubis-partition [network-partition] south-east-asia
[2016-01-07 05:40:07,372] [max-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-3 [cluster] rubis-phponly.php.php3.domain [partition] rubis-partition Activated member count: 1 Max member count 10
[2016-01-07 05:40:07,372] [instance-cleanup-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain Pending termination member count: 0
[2016-01-07 05:40:07,373] Running scale up rule: [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-07 05:40:07,373] [scaling] [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain Algorithm name: one-after-another
[2016-01-07 05:40:07,374] HealthStatProc la rubis-phponly.php.php3.domain rubis-phponly-3 0.0 0.0 0.0 0.0
[2016-01-07 05:40:07,374] HealthStatProc mc rubis-phponly.php.php3.domain rubis-phponly-3 12.35 0.0044403 -4.4361598E-4 12.354440689086914
[2016-01-07 05:40:07,374] HealthStatProc rif rubis-phponly.php.php3.domain rubis-phponly-3 0.0 0.0 0.0 0.0
[2016-01-07 05:40:07,374] HealthStatProc count rubis-phponly.php.php3.domain rubis-phponly-3 1
[2016-01-07 05:40:07,375] [scaling] [cluster] rubis-phponly.php.php3.domain RIF Resetted?: true
[2016-01-07 05:40:07,375] [scaling] [cluster] rubis-phponly.php.php3.domain RIF predicted value: 0.0
[2016-01-07 05:40:07,375] [scaling] [cluster] rubis-phponly.php.php3.domain RIF threshold: 100.0
[2016-01-07 05:40:07,375] [scaling] [cluster] rubis-phponly.php.php3.domain MC predicted value: 12.354440689086914
[2016-01-07 05:40:07,375] [scaling] [cluster] rubis-phponly.php.php3.domain MC threshold: 80.0
[2016-01-07 05:40:07,376] [scaling] [cluster] rubis-phponly.php.php3.domain LA predicted value: 0.0
[2016-01-07 05:40:07,376] [scaling] [cluster] rubis-phponly.php.php3.domain LA threshold: 80.0
[2016-01-07 05:40:07,376] [scaling] [cluster] rubis-phponly.php.php3.domain Scale-up action: false
[2016-01-07 05:40:07,376] [scaling] [cluster] rubis-phponly.php.php3.domain Scale-down action: true
[2016-01-07 05:40:07,377] HealthStatProc member rubis-phponly.php.php3.domain rubis-phponly.php.php3.domain74ef4cdd-90db-4f62-848a-1770b17859eb 1452144577406 0.0 0.0 0.0 12.35 0.0044403 0.0
[2016-01-07 05:40:07,377] [scaling] Number of required instances based on stats: 0 [active instances count] 1 [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-07 05:40:07,377] [scale-down] Min is reached, hence not scaling down [cluster] rubis-phponly.php.php3.domain [instance id]rubis-phponly-3
[2016-01-07 05:41:37,370] Running minimum rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-3
[2016-01-07 05:41:37,371] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-3 [cluster] rubis-phponly.php.php3.domain Non terminated member count: 1
[2016-01-07 05:41:37,371] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-3 [cluster] rubis-phponly.php.php3.domain Minimum member count: 1
[2016-01-07 05:41:37,372] Running max rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-3
[2016-01-07 05:41:37,372] [max-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-3 [cluster] rubis-phponly.php.php3.domain [partition] rubis-partition Activated member count: 1 Max member count 10
[2016-01-07 05:41:37,372] Running scale up rule: [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-07 05:41:37,372] [scaling] [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain Algorithm name: one-after-another
[2016-01-07 05:41:37,373] HealthStatProc la rubis-phponly.php.php3.domain rubis-phponly-3 0.0 0.0 0.0 0.0
[2016-01-07 05:41:37,373] HealthStatProc mc rubis-phponly.php.php3.domain rubis-phponly-3 20.9 0.4483011 0.014182336 21.34830093383789
[2016-01-07 05:41:37,374] HealthStatProc rif rubis-phponly.php.php3.domain rubis-phponly-3 0.0 0.0 0.0 0.0
[2016-01-07 05:41:37,374] HealthStatProc count rubis-phponly.php.php3.domain rubis-phponly-3 1
[2016-01-07 05:41:37,374] Running obsolete instances rule: [partition] rubis-partition [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-07 05:41:37,374] [obsolete-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain Obsolete member count: 0
[2016-01-07 05:41:37,374] [scaling] [cluster] rubis-phponly.php.php3.domain RIF Resetted?: true
[2016-01-07 05:41:37,375] Running instances cleanup event sender rule: [partition] rubis-partition [network-partition] south-east-asia
[2016-01-07 05:41:37,375] [scaling] [cluster] rubis-phponly.php.php3.domain RIF predicted value: 0.0
[2016-01-07 05:41:37,375] [instance-cleanup-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain Pending termination member count: 0
[2016-01-07 05:41:37,375] [scaling] [cluster] rubis-phponly.php.php3.domain RIF threshold: 100.0
[2016-01-07 05:41:37,375] [scaling] [cluster] rubis-phponly.php.php3.domain MC predicted value: 21.34830093383789
[2016-01-07 05:41:37,375] [scaling] [cluster] rubis-phponly.php.php3.domain MC threshold: 80.0
[2016-01-07 05:41:37,375] [scaling] [cluster] rubis-phponly.php.php3.domain LA predicted value: 0.0
[2016-01-07 05:41:37,376] [scaling] [cluster] rubis-phponly.php.php3.domain LA threshold: 80.0
[2016-01-07 05:41:37,376] [scaling] [cluster] rubis-phponly.php.php3.domain Scale-up action: false
[2016-01-07 05:41:37,376] [scaling] [cluster] rubis-phponly.php.php3.domain Scale-down action: true
[2016-01-07 05:41:37,377] HealthStatProc member rubis-phponly.php.php3.domain rubis-phponly.php.php3.domain74ef4cdd-90db-4f62-848a-1770b17859eb 1452144577406 0.0 0.0 0.0 20.9 0.4483011 0.0
[2016-01-07 05:41:37,377] [scaling] Number of required instances based on stats: 0 [active instances count] 1 [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-07 05:41:37,377] [scale-down] Min is reached, hence not scaling down [cluster] rubis-phponly.php.php3.domain [instance id]rubis-phponly-3
[2016-01-07 05:43:07,371] Running minimum rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-3
[2016-01-07 05:43:07,378] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-3 [cluster] rubis-phponly.php.php3.domain Non terminated member count: 1
[2016-01-07 05:43:07,378] Running obsolete instances rule: [partition] rubis-partition [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-07 05:43:07,378] [min-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-3 [cluster] rubis-phponly.php.php3.domain Minimum member count: 1
[2016-01-07 05:43:07,379] [obsolete-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain Obsolete member count: 0
[2016-01-07 05:43:07,379] Running instances cleanup event sender rule: [partition] rubis-partition [network-partition] south-east-asia
[2016-01-07 05:43:07,379] Running max rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-3
[2016-01-07 05:43:07,379] [instance-cleanup-check] [network-partition] south-east-asia [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain Pending termination member count: 0
[2016-01-07 05:43:07,379] [max-check] [network-partition] south-east-asia [cluster-instance] rubis-phponly-3 [cluster] rubis-phponly.php.php3.domain [partition] rubis-partition Activated member count: 1 Max member count 10
[2016-01-07 05:43:07,380] Running scale up rule: [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-07 05:43:07,380] [scaling] [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain Algorithm name: one-after-another
[2016-01-07 05:43:07,381] HealthStatProc la rubis-phponly.php.php3.domain rubis-phponly-3 111.5 -1.817094 0.03091911 109.69836665969342
[2016-01-07 05:43:07,381] HealthStatProc mc rubis-phponly.php.php3.domain rubis-phponly-3 35.775 -0.0066467263 6.6253054E-4 35.76835632324219
[2016-01-07 05:43:07,382] HealthStatProc rif rubis-phponly.php.php3.domain rubis-phponly-3 11.0 0.4219503 -0.013316017 11.415292331948876
[2016-01-07 05:43:07,382] HealthStatProc count rubis-phponly.php.php3.domain rubis-phponly-3 1
[2016-01-07 05:43:07,382] [scaling] [cluster] rubis-phponly.php.php3.domain RIF Resetted?: true
[2016-01-07 05:43:07,382] [scaling] [cluster] rubis-phponly.php.php3.domain RIF predicted value: 11.415292331948876
[2016-01-07 05:43:07,383] [scaling] [cluster] rubis-phponly.php.php3.domain RIF threshold: 100.0
[2016-01-07 05:43:07,383] [scaling] [cluster] rubis-phponly.php.php3.domain MC predicted value: 35.76835632324219
[2016-01-07 05:43:07,383] [scaling] [cluster] rubis-phponly.php.php3.domain MC threshold: 80.0
[2016-01-07 05:43:07,383] [scaling] [cluster] rubis-phponly.php.php3.domain LA predicted value: 109.69836665969342
[2016-01-07 05:43:07,383] [scaling] [cluster] rubis-phponly.php.php3.domain LA threshold: 80.0
[2016-01-07 05:43:07,383] [scaling] [cluster] rubis-phponly.php.php3.domain Scale-up action: true
[2016-01-07 05:43:07,383] [scaling] [cluster] rubis-phponly.php.php3.domain Scale-down action: false
[2016-01-07 05:43:07,384] HealthStatProc member rubis-phponly.php.php3.domain rubis-phponly.php.php3.domain74ef4cdd-90db-4f62-848a-1770b17859eb 1452144577406 111.5 -1.817094 0.03091911 35.775 -0.0066467263 0.0
[2016-01-07 05:43:07,384] [scaling] Number of required instances based on stats: 2 [active instances count] 1 [network-partition] south-east-asia [cluster] rubis-phponly.php.php3.domain
[2016-01-07 05:43:07,385] [scale-up]  [has scaling dependents] false [cluster] rubis-phponly.php.php3.domain
[2016-01-07 05:43:07,386] Scaling decision publisher is not enabled
[2016-01-07 05:43:07,387] HealthStatProc + rubis-phponly.php.php3.domain la
[2016-01-07 05:43:07,388] [scale-up] Partition available, hence trying to spawn an instance to scale up!  [application id] rubis-phponly [cluster] rubis-phponly.php.php3.domain [instance id] rubis-phponly-3 [network-partition] south-east-asia [partition] rubis-partition scaleup due to RIF: false [rifPredictedValue] 11.415292331948876 [rifThreshold] 100.0 scaleup due to MC: false [mcPredictedValue] 35.76835632324219 [mcThreshold] 80.0 scaleup due to LA: true [laPredictedValue] 109.69836665969342 [laThreshold] 80.0
[2016-01-07 05:43:07,389] [scale-up]  [partition] rubis-partition [cluster] rubis-phponly.php.php3.domain
[2016-01-07 05:44:37,372] Running minimum rule: [network-partition] south-east-asia [cluster-instance] rubis-phponly-3
